"is"	"becomes"
"1079"	4714	99
"1080"	4715	99
"1081"	4717	99
"1082"	4721	1
"1083"	4722	2
"1084"	4723	2
"1085"	4724	4
"1086"	4725	2
"1087"	4727	7
"1088"	4732	2
"1089"	4733	3
"1090"	4734	3
"1091"	4735	3
"1092"	4737	3
"1093"	4741	99
"1094"	4742	2
"1095"	4743	3
"1096"	4744	4
"1097"	4745	4
"1098"	4747	4
"1099"	4751	99
"1100"	4752	2
"1101"	4753	3
"1102"	4754	4
"1103"	4755	5
"1104"	4757	7
"1105"	4771	99
"1106"	4772	2
"1107"	4773	3
"1108"	4774	4
"1109"	4775	7
"1110"	4777	7
"1111"	5111	1
"1112"	5112	2
"1113"	5113	3
"1114"	5114	99
"1115"	5115	1
"1116"	5117	99
"1117"	5121	1
"1118"	5122	2
"1119"	5123	1
"1120"	5124	1
"1121"	5125	5
"1122"	5127	1
"1123"	5131	3
"1124"	5132	2
"1125"	5133	3
"1126"	5134	3
"1127"	5135	3
"1128"	5137	3
"1129"	5141	99
"1130"	5142	2
"1131"	5143	3
"1132"	5144	99
"1133"	5145	99
"1134"	5147	99
"1135"	5151	1
"1136"	5152	2
"1137"	5153	3
"1138"	5154	99
"1139"	5155	5
"1140"	5157	99
"1141"	5171	99
"1142"	5172	2
"1143"	5173	3
"1144"	5174	99
"1145"	5175	99
"1146"	5177	99
"1147"	5211	1
"1148"	5212	2
"1149"	5213	1
"1150"	5214	1
"1151"	5215	5
"1152"	5217	1
"1153"	5221	2
"1154"	5222	2
"1155"	5223	2
"1156"	5224	2
"1157"	5225	2
"1158"	5227	2
"1159"	5231	1
"1160"	5232	2
"1161"	5233	3
"1162"	5234	2
"1163"	5235	5
"1164"	5237	2
"1165"	5241	1
"1166"	5242	2
"1167"	5243	2
"1168"	5244	4
"1169"	5245	5
"1170"	5247	2
"1171"	5251	5
"1172"	5252	2
"1173"	5253	5
"1174"	5254	5
"1175"	5255	5
"1176"	5257	5
"1177"	5271	1
"1178"	5272	2
"1179"	5273	2
"1180"	5274	2
"1181"	5275	5
"1182"	5277	7
"1183"	5311	3
"1184"	5312	2
"1185"	5313	3
"1186"	5314	3
"1187"	5315	3
"1188"	5317	3
"1189"	5321	1
"1190"	5322	2
"1191"	5323	3
"1192"	5324	2
"1193"	5325	5
"1194"	5327	2
"1195"	5331	3
"1196"	5332	2
"1197"	5333	3
"1198"	5334	3
"1199"	5335	3
"1200"	5337	3
"1201"	5341	3
"1202"	5342	2
"1203"	5343	3
"1204"	5344	3
"1205"	5345	3
"1206"	5347	3
"1207"	5351	3
"1208"	5352	2
"1209"	5353	3
"1210"	5354	3
"1211"	5355	5
"1212"	5357	3
"1213"	5371	3
"1214"	5372	2
"1215"	5373	3
"1216"	5374	3
"1217"	5375	3
"1218"	5377	3
"1219"	5411	99
"1220"	5412	2
"1221"	5413	3
"1222"	5414	99
"1223"	5415	99
"1224"	5417	99
"1225"	5421	1
"1226"	5422	2
"1227"	5423	2
"1228"	5424	4
"1229"	5425	5
"1230"	5427	2
"1231"	5431	3
"1232"	5432	2
"1233"	5433	3
"1234"	5434	3
"1235"	5435	3
"1236"	5437	3
"1237"	5441	99
"1238"	5442	2
"1239"	5443	3
"1240"	5444	4
